surface,winner,winner_hand,winner_age,loser_hand,loser_age,w_ace,w_SvGms,l_ace,l_SvGms,winner_rank,loser_rank
Hard,Player1,R,34.8966461328,R,29.0568104038,12,20,11,19,35,34
Hard,Player1,R,29.7932922656,R,35.2470910335,28,28,20,28,44,32
Hard,Player1,R,31.6495550992,R,25.0047912389,6,13,2,12,1,230
Hard,Player1,R,37.4346338125,R,28.6461327858,11,17,4,16,3,189
Hard,Player1,R,29.0431211499,R,23.0034223135,6,19,11,19,9,176
Hard,Player1,R,20.424366872,R,32.9253935661,14,19,8,18,15,200
Hard,Player1,R,22.9240246407,R,21.8863791923,7,11,6,11,19,119
Hard,Player1,R,26.4120465435,R,18.2176591376,9,16,9,16,16,206
Hard,Player1,R,26.8911704312,R,22.6940451745,11,21,21,20,20,170
Hard,Player1,R,26.8911704312,U,27.0746064339,9,23,13,23,20,137
Hard,Player1,R,27.5099247091,R,33.6125941136,20,26,25,25,23,163
Hard,Player1,L,35.1649555099,R,19.3730321697,21,15,2,15,28,125
Hard,Player1,R,19.9069130732,R,26.7898699521,5,25,6,24,29,166
Hard,Player1,R,34.0479123888,R,25.4893908282,10,15,4,15,30,133
Hard,Player1,R,28.6461327858,R,30.6584531143,9,16,5,15,189,150
Hard,Player1,R,25.9630390144,R,22.7624914442,3,9,0,9,82,144
Hard,Player1,L,23.5838466804,R,30.5954825462,13,13,3,12,71,252
Hard,Player1,R,20.9828884326,L,29.1718001369,7,15,7,15,39,109
Hard,Player1,R,31.6495550992,R,33.7440109514,12,16,10,15,1,177
Hard,Player1,L,32.6160164271,R,26.9815195072,6,16,12,15,2,237
Hard,Player1,R,21.735797399,L,26.0232717317,14,13,5,13,4,155
Hard,Player1,R,24.8898015058,R,19.4442162902,16,26,16,26,31,149
Hard,Player1,R,35.2470910335,R,32.3175906913,10,13,2,13,32,261
Hard,Player1,L,26.0232717317,R,26.3052703628,22,18,13,17,155,105
Hard,Player1,R,29.6372347707,R,25.6563997262,3,20,14,19,102,130
Hard,Player1,R,26.4093086927,U,21.7029431896,19,22,8,22,62,169
Hard,Player1,L,32.6160164271,R,31.1348391513,6,13,7,12,2,48
Hard,Player1,L,32.6160164271,R,33.325119781,5,13,5,12,2,57
Hard,Player1,L,32.6160164271,R,20.9828884326,11,14,13,13,2,39
Hard,Player1,R,37.4346338125,R,32.3531827515,14,15,4,14,3,101
Hard,Player1,R,37.4346338125,R,21.2128678987,10,14,8,14,3,50
